zone_code,geography
A & E DISTRICT,"POLYGON((-80.132877779641 26.1591903832187, -80.1328529204437 26.1591856502512, -80.132840184518 26.1591861479597, -80.1328158717663 26.1591928025225, -80.1322962832652 26.1594262513456, -80.1328536927411 26.1594168559721, -80.1328796540837 26.1594122057847, -80.1329022873643 26.1593998229608, -80.1329114776847 26.1593911663477, -80.132924217957 26.15937022986, -80.1329273808037 26.1593585861292, -80.1329246688319 26.1592413401558, -80.132915764568 26.1592198664851, -80.1328995335579 26.1592022273983, -80.132877779641 26.1591903832187))"
A & E DISTRICT,"POLYGON((-80.1344217367647 26.158194262393, -80.1341549909967 26.157545644544, -80.1330513344196 26.1580419352582, -80.133066995304 26.1586948772716, -80.1330729145165 26.1587189191225, -80.1330801935629 26.1587309770696, -80.1330899807278 26.1587414929944, -80.1331140252786 26.1587557757794, -80.1331285952615 26.1587597315973, -80.1331437491243 26.1587609948412, -80.1331719732433 26.158755888197, -80.1341489184411 26.1583169771941, -80.1344217367647 26.158194262393))"
A & E DISTRICT,"POLYGON((-80.1400767779834 26.1559474528928, -80.1400708075989 26.1552597098728, -80.139633413516 26.1552708984731, -80.139519731838 26.1554189679708, -80.1394014707037 26.1555640868903, -80.1392973547509 26.155679248532, -80.139190279954 26.1557921789538, -80.1390803049949 26.1559028162563, -80.1390720097651 26.155914352906, -80.1390683720506 26.1559277080598, -80.1390697952578 26.1559414006963, -80.1390761215616 26.1559539123685, -80.1390866494067 26.1559638555919, -80.1391076688026 26.1559716513808, -80.1395332580067 26.1559613551831, -80.1400767779834 26.1559474528928))"
A & E DISTRICT,"POLYGON((-80.1358734035202 26.1583171977008, -80.1358698447471 26.1581796227627, -80.1360603066529 26.1581756167446, -80.1360554850659 26.1579975687931, -80.1362459541974 26.1579933693012, -80.136238765842 26.1577583343431, -80.1362305678555 26.1577331812385, -80.1362124285828 26.157712612351, -80.1361945943763 26.157702359215, -80.136176914196 26.1576972680893, -80.1361555809405 26.1576964522751, -80.1361324805914 26.1577018082905, -80.1355079589023 26.1579826330025, -80.1354930188892 26.1579932038286, -80.135484722256 26.1580070828785, -80.1354827169012 26.1580206530763, -80.1354913316775 26.158325390537, -80.1356441605239 26.1583221817525, -80.1358734035202 26.1583171977008))"
A & E DISTRICT,"POLYGON((-80.1400544273909 26.1527702370927, -80.1398751572715 26.152803940147, -80.1397661128724 26.1532031908201, -80.1403535439172 26.1533581023031, -80.140397240063 26.1532182296248, -80.140429691965 26.1531052232171, -80.1404635404748 26.1529767556096, -80.140493730953 26.1528503597487, -80.1400544273909 26.1527702370927))"
A & E DISTRICT,"POLYGON((-80.1351260858264 26.1571092623019, -80.1354658997576 26.1577248707274, -80.1368301807868 26.157111530127, -80.1364903643222 26.1564959247549, -80.1354207717639 26.1569767839106, -80.1351260858264 26.1571092623019))"
A & E DISTRICT,"POLYGON((-80.136919785479 26.1555834990734, -80.1367995051146 26.1554591537411, -80.1363043686583 26.1558504979771, -80.1369664189355 26.157049847284, -80.1371400889957 26.1569666026422, -80.1373452402721 26.1568605471561, -80.1375461673668 26.1567480944782, -80.1376449684228 26.1566895099944, -80.1378390954649 26.1565677201383, -80.1380283951106 26.1564398899169, -80.1381938135861 26.1563202660849, -80.1383560435879 26.1561951785118, -80.1385624704239 26.1560238806831, -80.138748381104 26.1558562506099, -80.1388840704605 26.1557251332622, -80.1390154272966 26.1555904705606, -80.1391423379406 26.1554523790525, -80.1392646925703 26.1553109782515, -80.1394103359112 26.1551306954842, -80.1394165254052 26.1551189219791, -80.1394175288512 26.1550994983578, -80.1394125800364 26.155087256178, -80.1393979531637 26.1550729787043, -80.1383672591061 26.1544394153528, -80.1372048327162 26.1553582025273, -80.136919785479 26.1555834990734))"
A & E DISTRICT,"POLYGON((-80.1410690549921 26.1527490642732, -80.1407923280672 26.1527393025191, -80.1407629381371 26.1528786995055, -80.1410452038152 26.152866147049, -80.1410681235796 26.1527538704192, -80.1410690549921 26.1527490642732))"
A & E DISTRICT,"POLYGON((-80.1391668827038 26.1564522468316, -80.1390754520692 26.1564545886566, -80.139073855307 26.156282615173, -80.1391652887143 26.1562802926209, -80.1391638837159 26.1561083395365, -80.1388494150943 26.1561165082929, -80.1387086518627 26.1562404731327, -80.1385245697922 26.1563910349458, -80.1383597920571 26.1565176645831, -80.1381857804206 26.1566430254938, -80.1381910123702 26.1568212602476, -80.1391698847268 26.1567961541291, -80.1391668827038 26.1564522468316))"
A-1c,"POLYGON((-80.1378429551377 26.2769067453914, -80.1379222554594 26.2770150414215, -80.1386696433421 26.2769982832174, -80.1389749274777 26.2769996895054, -80.1392800609783 26.276995598427, -80.1392683699461 26.2765720744501, -80.136460587028 26.276635029681, -80.1364912354487 26.2769175872745, -80.1365617197114 26.2769354673479, -80.1368132977787 26.276929829005, -80.1378429551377 26.2769067453914))"
