county,zoning_source,zone_code,geometry,fillColor,stroke,stroke-width
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.81250994 27.92844872, -82.81253154 27.92846047, -82.81255614 27.92846029, -82.81257757 27.92844822, -82.81259047 27.92842728, -82.81259214 27.92796966, -82.81258382 27.92794593, -82.81256547 27.92792873, -82.81254125 27.92792198, -82.81220038 27.92791959, -82.81217641 27.92792702, -82.81215339 27.92796099, -82.81215879 27.92799372, -82.81250994 27.92844872))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.80066656 27.94042769, -82.80056282 27.94042932, -82.80048457 27.94044683, -82.80041012 27.94048361, -82.80034207 27.94054513, -82.80030597 27.94060288, -82.8002835 27.94068332, -82.80028867 27.94090504, -82.80030747 27.94099219, -82.80032998 27.94105198, -82.80041155 27.94115727, -82.80052416 27.94124389, -82.80078239 27.94139548, -82.80085438 27.94130619, -82.80060337 27.94114701, -82.80052123 27.94108459, -82.80047961 27.941037, -82.80044348 27.94097754, -82.80042007 27.94091523, -82.80040921 27.94085446, -82.8004057 27.94070229, -82.80042643 27.94063243, -82.80047838 27.94057537, -82.80054467 27.94054431, -82.80067078 27.94053757, -82.80066656 27.94042769))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.80116078 27.94090412, -82.8010909 27.94099582, -82.80119581 27.94105531, -82.80126577 27.94096352, -82.80116078 27.94090412))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.81104491 27.94752031, -82.81116406 27.94735889, -82.81090474 27.94735544, -82.81086481 27.9475178, -82.81104491 27.94752031))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.8041301 27.93699378, -82.80417323 27.93620129, -82.80415219 27.93617396, -82.80411895 27.93616735, -82.8040871 27.93618807, -82.80407864 27.93622572, -82.80404182 27.93698021, -82.80405303 27.93700545, -82.80407786 27.93701868, -82.80411116 27.93701347, -82.8041301 27.93699378))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.80811014 27.93425458, -82.80870321 27.93426201, -82.80842965 27.93370802, -82.80811014 27.93425458))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.81235201 27.92517787, -82.81257979 27.92522667, -82.81262393 27.92465913, -82.81235201 27.92517787))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.80425662 27.93696782, -82.80433342 27.9369683, -82.80508452 27.93623029, -82.80429239 27.93622542, -82.80425662 27.93696782))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.80352377 27.93479063, -82.80352156 27.93509125, -82.80484362 27.93509729, -82.80484899 27.93440867, -82.80259876 27.93439892, -82.80259251 27.9350865, -82.8032893 27.93509006, -82.80329203 27.93478897, -82.80352377 27.93479063))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.80631294 27.93528193, -82.80634077 27.93527681, -82.80637515 27.93525236, -82.80639382 27.93519984, -82.8063887 27.935172, -82.80636425 27.93513763, -82.80631173 27.93511895, -82.80628389 27.93512407, -82.80624952 27.93514852, -82.80623084 27.93520105, -82.80623596 27.93522888, -82.80626042 27.93526326, -82.80631294 27.93528193))","rgb(94,198,153)",#747474,3
